Unnamed: 0|Unnamed: 0.1|Date_x|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|prctChangeOPEN|TargetProbability|Date_y|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
481|481|2013-12-02|93.59|94.08|93.42|93.74|381105|USD|481|1.0|0.4599534116178517|2018-04-12|1|2018-04-12|1|2018-04-12|1
482|482|2013-12-03|93.61|94.23|93.39|93.78|566051|USD|482|0.9840000000000001|0.4260304871475062|2018-04-13|1|2018-04-13|1|2018-04-13|1
483|483|2013-12-04|92.14|93.03|90.95|91.48|871951|USD|483|0.998|0.4150696912129416|2018-04-16|1|2018-04-16|1|2018-04-16|1
484|484|2013-12-05|91.94|92.21|90.88|91.14|757299|USD|484|0.9890000000000001|0.4363627020137792|2018-04-17|1|2018-04-17|1|2018-04-17|1
485|485|2013-12-06|90.95|92.07|90.82|91.45|541340|USD|485|1.016|0.5073309222970116|2018-04-18|2|2018-04-18|2|2018-04-18|2
486|486|2013-12-09|92.41|92.85|91.66|91.8|871049|USD|486|0.9940000000000001|0.4873028030809252|2018-04-19|1|2018-04-19|1|2018-04-19|1
487|487|2013-12-10|91.81|92.04|90.9|91.04|672751|USD|487|1.001|0.4906318354132377|2018-04-26|1|2018-04-26|1|2018-04-26|1
488|488|2013-12-11|91.88|91.98|91.01|91.1|821208|USD|488|0.985|0.4781945009475337|2018-04-27|1|2018-04-27|1|2018-04-27|1
489|489|2013-12-12|90.54|90.65|89.27|89.37|1969603|USD|489|0.987|0.4840245257476232|2018-05-02|1|2018-05-02|1|2018-05-02|1
490|490|2013-12-13|89.34|89.4|87.82|88.1|1036776|USD|490|0.993|0.4758585435065714|2018-05-07|3|2018-05-07|3|2018-05-07|3
491|491|2013-12-16|88.72|89.33|87.97|88.22|1298092|USD|491|0.996|0.4929185012352093|2018-05-08|2|2018-05-08|2|2018-05-08|2
492|492|2013-12-17|88.37|88.44|87.76|87.91|608185|USD|492|1.0070000000000001|0.4719415137523364|2018-05-10|1|2018-05-10|1|2018-05-10|1
493|493|2013-12-18|88.98|89.98|88.54|89.78|874099|USD|493|1.016|0.48012948742955|2018-05-11|3|2018-05-11|3|2018-05-11|3
494|494|2013-12-19|90.43|91.08|89.94|90.84|721004|USD|494|1.011|0.4624773083376798|2018-05-14|1|2018-05-14|1|2018-05-14|1
495|495|2013-12-20|91.45|91.78|91.24|91.48|732315|USD|495|1.012|0.4586843869049693|2018-05-15|2|2018-05-15|2|2018-05-15|2
496|496|2013-12-23|92.57|92.66|91.68|92.24|495467|USD|496|0.9940000000000001|0.4619327106294096|2018-05-16|2|2018-05-16|2|2018-05-16|2
