tweet|covering_link
WE GOT LIT FOR FATHER’S DAY 😏 |https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpMeTd1QmtJQU1FZVFvSmtfeTUzNUhLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
 via @YouTube|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpMeTd1QmtJQU1FZVFvSmtfeTUzNUhLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"My father's day gift from my kids arrived last night. So this morning my 
wife said ""Guys, lets get daddy his gift"". Gift is opened and handed to me 
Alex ""we didn't get this for him"" A minute later his sister walks up to me 
Emmy ""Daddy, I didn't buy that for you"" 😂😂"|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpMeTd1QmtJQU1FZVFvSmtfeTUzNUhLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"Good night all💤💤💤 Off to bed early and setting my alarm clock ⚽ More 
@premierleague matches in the morning for 🇦🇺 football fans on @OptusSport 
⚽👍🏻 #ootussport #premierleague #football "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlDOXNMX2o0QU1FZWkybUtraFEzNEtLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"A lot of talk about the @ManUtd midfield tonight but I’m really looking 
forward to seeing how #Greenwood goes, especially on the quick counter. 
#MUNSHU @premierleague"|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlDOXNMX2o0QU1FZWkybUtraFEzNEtLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"So...in latest round of @premierleague testing 17-21st June - 1829 tested 
&1 +ve test but @AdriaTennisTour 🎾 where they played w crowds & NO social 
distancing because it was ‘SAFE’ to do so - of the 8 players 4 have tested 
+ve PLUS wives & coaches - SO wasn’t safe #soreckless😷 
"|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlDOXNMX2o0QU1FZWkybUtraFEzNEtLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"#PlayersTogether launch #ShirtsforChange raffle on eBay UK, of 
specially-designed Black Lives Matters football shirts, which they have 
been wearing since the Premier League has returned. All funds raised will 
be donated to The Stephen Lawrence Charitable Trust."|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlDOXNMX2o0QU1FZWkybUtraFEzNEtLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"Robert Julian-Borchak Williams was wrongfully arrested because racist 
facial recognition technology misidentified him for a crime he did not 
commit. We can't allow this to happen again. It's time to ban facial 
recognition technology for policing. "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpwalptQ2tJQU1FU1pSWURPWUt3RFNLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"A Black man in Detroit was wrongfully arrested by police who mis-identified 
him with a false facial recognition hit. Robert Williams was held in police 
custody for a day. It's the first publicly reported case of AI resulting in 
a false arrest in the US. "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpwalptQ2tJQU1FU1pSWURPWUt3RFNLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"Michigan police say facial recognition is just for investigative leads and 
the onus is on the investigators to make sure they're right. 
Understandable, but doesn't change the fact that the tech has been proven, 
repeatedly, to be bias against Black people: "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpwalptQ2tJQU1FU1pSWURPWUt3RFNLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"Detroit police challenged over ""unthinkingly"" relying on facial recognition 
technology that mistakenly identified Black man, leading to humiliating 
arrest outside his home "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpwalptQ2tJQU1FU1pSWURPWUt3RFNLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"I love them all, but the Show 5 is definitely one of my family's favs. =) 
--> Readers tell us why the Echo Show 5 is their ideal smart display | 
Engadget "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWkyck15Q2tJQU1FWEctSDUtSFFGQzVLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
 #Alexa #VoiceFirst |https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWkyck15Q2tJQU1FWEctSDUtSFFGQzVLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"Baby Thinks Her Name is 'Alexa' After Hearing Parents Talk to Amazon Echo 
[Video] "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWkyck15Q2tJQU1FWEctSDUtSFFGQzVLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"“Alexa, remind me in 15 minutes that I diced this 
parsley/sage/cilantro/etc. to use for garnish, not to leave in a pile on a 
cutting board”: one of my under-utilized kitchen-Echo use cases."|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWkyck15Q2tJQU1FWEctSDUtSFFGQzVLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"I dont have an Amazon echo, but if I did I’d yell “Alexa get in here right 
now!” constantly until it self destructed."|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWkyck15Q2tJQU1FWEctSDUtSFFGQzVLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
